mtt,mu_pt,mu_abseta,weight,pileup
1858.4197334469523,81.99237,1.2258301,1.0,8.0
1232.3030285845523,138.24442,0.40948486,1.0,24.0
1813.4826970428112,137.14438,0.9942627,1.0,20.0
1924.622744265536,164.0859,1.322998,1.0,21.0
1675.2412332206056,303.39255,0.22854614,1.0,12.0
2159.8151338960115,279.50037,0.262146,1.0,13.0
358.4198763334536,213.36595,0.12908936,1.0,10.0
2062.1724733173414,302.4844,0.011629105,1.0,35.0
2284.900555891878,82.21173,0.8084717,1.0,19.0
2037.195636945574,317.23914,1.2832031,1.0,33.0
1770.9833593589476,64.05699,1.2319336,1.0,23.0
1880.8078483971178,145.79066,1.3769531,1.0,40.0
1839.132234593234,186.01694,0.5175781,1.0,27.0
1826.2873067302608,182.5234,0.7093506,1.0,31.0
1706.3102738434136,69.82025,0.96276855,1.0,21.0
2574.7933853122117,511.54602,0.8121338,1.0,24.0
1871.3707338013392,127.03309,0.42022705,1.0,30.0
2016.2624349631983,185.73431,0.28546143,1.0,13.0
2030.9222617897922,504.60165,0.631958,1.0,16.0
2475.148818171437,109.68583,0.11154175,1.0,32.0
1544.0116762158557,65.697136,0.059913635,1.0,16.0
2820.944357215475,104.734,0.33966064,1.0,19.0
1605.0025267604115,114.84152,0.5505371,1.0,40.0
2122.2303585910686,456.35526,0.60095215,1.0,34.0
2233.3112850092684,278.19812,0.28729248,1.0,18.0
2932.7474323109086,140.397,0.73083496,1.0,17.0
1451.16183755905,56.921387,0.31817627,1.0,28.0
1990.8708026450681,240.15398,0.97595215,1.0,35.0
1236.6820794046391,173.55336,1.4316406,1.0,28.0
1825.1099563082387,206.31407,1.0283203,1.0,21.0
2330.2320072022935,485.4634,0.28759766,1.0,20.0
901.6047368042814,159.46306,0.25012207,1.0,30.0
1926.114396187976,114.52607,0.16259766,1.0,29.0
2210.1842452803658,115.89016,0.026737213,1.0,17.0
2494.3202046369997,436.57556,0.24203491,1.0,29.0
1907.715622182223,100.261154,0.040725708,1.0,32.0
1158.6433925816314,343.0311,0.4225464,1.0,14.0
1460.4086689824383,150.13664,1.2897949,1.0,21.0
1544.9979714227932,135.61827,0.98876953,1.0,16.0
1809.0874409620515,239.4006,0.9466553,1.0,20.0
2354.3450375296743,335.69193,0.18112183,1.0,11.0
2081.5236146323264,292.08536,1.2468262,1.0,18.0
1965.963247249978,69.63425,0.62023926,1.0,17.0
2213.9700297754184,148.15826,1.8342285,1.0,17.0
1364.2238003409125,139.61086,0.5904541,1.0,10.0
2166.8066259108637,109.68929,2.197754,1.0,27.0
1935.738080285689,120.140884,1.1721191,1.0,31.0
1969.672051235815,243.70584,0.3887329,1.0,30.0
1692.9527750045404,87.90321,0.13217163,1.0,33.0
1577.4022369492357,78.795425,1.3342285,1.0,16.0
2647.978721811944,463.64288,0.28796387,1.0,22.0
2088.2194148586004,191.2998,1.7260742,1.0,19.0
1561.1114631885414,483.7991,0.04499817,1.0,19.0
1934.6932001128246,199.4901,0.07217407,1.0,24.0
917.3143875260425,117.397194,0.6999512,1.0,10.0
1646.5185358081253,127.24615,0.102752686,1.0,20.0
1334.7796528302556,106.50883,1.4477539,1.0,18.0
1837.892175392472,71.08562,0.3474121,1.0,28.0
